City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port hawkesbury,1,CA,1588213447,100,45.62,-61.35,-0.56,3.6
san quintin,54,MX,1588213447,72,30.48,-115.95,19.73,3.52
key west,1,US,1588213443,78,24.56,-81.78,27.0,7.2
garowe,100,SO,1588213447,57,8.41,48.48,27.48,6.72
hyeres,62,FR,1588213447,82,43.12,6.12,15.56,1.0
wanaka,100,NZ,1588213447,48,-44.7,169.15,13.98,4.16
gamba,100,GA,1588213448,91,-2.65,10.0,24.57,1.42
hammerfest,0,NO,1588213448,73,70.66,23.68,-3.0,6.7
rundu,0,NA,1588213448,77,-17.93,19.77,16.0,1.0
alice springs,0,AU,1588213447,29,-23.7,133.88,16.0,6.2
wairoa,0,NZ,1588213448,51,-39.03,177.37,21.11,2.24
malakal,47,SS,1588213448,38,9.53,31.66,29.55,2.06
grindavik,41,IS,1588213448,80,63.84,-22.43,4.0,7.2
manadhoo,7,MV,1588213449,72,5.77,73.38,29.25,1.14
killarney,85,IE,1588213449,87,52.05,-9.52,3.87,1.04
kigoma,75,TZ,1588213449,94,-4.88,29.63,21.0,3.45
omsukchan,95,RU,1588213449,89,62.53,155.8,-3.12,3.61
nabire,92,ID,1588213449,70,-3.37,135.48,29.3,2.52
presidente medici,100,BR,1588213449,88,-11.18,-61.9,23.54,0.23
chipinge,7,ZW,1588213449,57,-20.19,32.62,15.17,1.1
idritsa,72,RU,1588213449,98,56.33,28.9,-0.99,1.54
yumen,0,CN,1588213450,8,40.28,97.2,23.79,1.38
komsomolskiy,90,UZ,1588213450,52,40.43,71.72,18.0,2.1
kologriv,100,RU,1588213263,92,58.83,44.32,2.35,2.59
teguise,0,ES,1588213450,72,29.06,-13.56,18.0,5.7
nizwa,3,OM,1588213450,33,22.93,57.53,27.91,1.45
saskylakh,100,RU,1588213450,96,71.92,114.08,-6.06,4.7
newport,8,GB,1588213450,94,51.59,-3.0,7.78,0.45
keokuk,90,US,1588213450,76,40.4,-91.38,13.0,3.6
tlaxco,64,MX,1588213451,29,19.62,-98.12,14.9,4.99
byron bay,94,AU,1588213312,69,-28.65,153.62,28.89,7.7
sola,0,VU,1588213452,78,-13.88,167.55,28.01,5.52
frankenburg,16,AT,1588213452,82,48.07,13.49,6.67,1.34
nyagan,100,RU,1588213452,91,62.14,65.39,3.28,2.04
kyshtovka,99,RU,1588213452,76,56.55,76.63,10.45,3.79
laguna,1,US,1588213452,60,38.42,-121.42,22.0,3.1
pagudpud,20,PH,1588213453,79,18.56,120.79,30.0,3.1
pacific grove,90,US,1588213453,77,36.62,-121.92,16.0,3.1
ilinskiy,23,RU,1588213453,74,55.62,38.12,2.78,3.0
atchison,1,US,1588213453,39,39.56,-95.12,17.0,5.7
tigil,100,RU,1588213453,96,57.8,158.67,-0.38,1.99
otradnoye,0,RU,1588213453,74,59.78,30.82,1.11,2.0
batman,0,TR,1588213454,100,37.89,41.13,8.0,4.1
flin flon,90,CA,1588213454,71,54.77,-101.86,7.53,2.53
cradock,0,ZA,1588213454,49,-32.16,25.62,9.91,0.66
binga,1,ZW,1588213455,54,-17.62,27.34,19.82,0.58
assiniboia,100,CA,1588213455,35,49.63,-105.98,16.83,1.59
boyolangu,46,ID,1588213455,74,-8.12,111.89,27.92,3.37
challans,97,FR,1588213455,93,46.84,-1.87,11.11,5.1
zyryanka,95,RU,1588213455,97,65.75,150.85,0.11,4.81
camocim,89,BR,1588213455,88,-2.9,-40.84,25.35,4.25
paredon,0,MX,1588213455,61,16.03,-93.87,29.6,1.97
longjiang,0,CN,1588213455,39,47.33,123.18,19.42,3.07
harer,63,ET,1588213456,52,9.31,42.13,15.71,0.58
bandarbeyla,100,SO,1588213456,80,9.49,50.81,28.29,5.68
coaldale,90,CA,1588213456,34,49.72,-112.62,20.56,2.6
karangasem,20,ID,1588213456,84,-8.45,115.62,30.0,5.1
guanica,0,PR,1588213456,71,17.97,-66.91,27.22,4.26
lensk,100,RU,1588213280,64,60.73,114.93,4.28,3.72
magadan,100,RU,1588213456,94,59.57,150.8,-0.8,2.06
atambua,100,ID,1588213456,53,-9.11,124.89,28.21,0.59
itaituba,79,BR,1588213457,97,-4.28,-55.98,24.12,0.57
manado,40,ID,1588213457,66,1.49,124.85,31.0,1.5
la paz,40,BO,1588213171,75,-16.5,-68.15,6.0,3.6
kamenka,23,RU,1588213457,65,51.32,42.77,8.89,2.24
maumere,71,ID,1588213457,61,-8.62,122.21,29.02,1.6
azanka,0,RU,1588213457,74,58.04,64.79,4.64,2.88
avera,90,US,1588213458,88,33.19,-82.53,22.0,5.7
new milford,90,US,1588213248,71,40.93,-74.02,11.0,4.6
port hedland,26,AU,1588213458,29,-20.32,118.57,27.0,8.7
requena,100,ES,1588213458,68,39.49,-1.1,12.78,2.68
kijang,0,KR,1588213458,46,35.24,129.21,21.0,7.2
moree,90,AU,1588213458,77,-29.47,149.85,15.0,6.8
tupik,59,RU,1588213458,26,54.43,119.93,15.47,2.14
geraldton,40,AU,1588213458,28,-28.77,114.6,20.0,10.8
san miguel,67,SV,1588213421,74,13.48,-88.18,27.18,1.3
cockburn town,0,TC,1588213459,81,21.46,-71.14,26.21,9.12
kamaishi,75,JP,1588213459,54,39.27,141.88,14.0,0.5
xining,0,CN,1588213459,12,36.62,101.77,15.82,0.95
yarada,20,IN,1588213460,74,17.65,83.27,28.0,2.1
mao,67,ES,1588213460,82,39.89,4.27,16.0,4.6
prince rupert,1,CA,1588213460,71,54.32,-130.32,9.0,3.1
rochefort,90,FR,1588213461,81,45.92,-1.0,12.0,7.2
danjiangkou,94,CN,1588213461,40,32.54,111.51,28.61,1.88
dom pedrito,0,BR,1588213461,68,-30.98,-54.67,11.4,1.67
samarai,49,PG,1588213462,77,-10.62,150.67,28.84,4.4
marigot,40,MF,1588213462,74,18.07,-63.08,27.0,4.6
troitsk,100,RU,1588213368,62,54.1,61.58,6.26,6.29
hun,0,LY,1588213462,18,29.13,15.95,25.36,3.32
banes,75,CU,1588213462,78,20.96,-75.72,26.0,4.6
puerto montt,75,CL,1588213270,87,-41.47,-72.94,12.0,2.1
mandan,1,US,1588213451,44,46.83,-100.89,14.44,3.6
redmond,94,US,1588213169,72,47.67,-122.12,17.22,1.73
vao,16,NC,1588213463,79,-22.67,167.48,24.6,11.34
pitimbu,40,BR,1588213463,94,-7.47,-34.81,25.0,2.1
batticaloa,46,LK,1588213463,75,7.71,81.69,28.66,1.37
lavrentiya,80,RU,1588213463,94,65.58,-171.0,-3.21,0.19
wakkanai,20,JP,1588213463,58,45.41,141.67,14.0,12.3
viedma,0,AR,1588213463,84,-40.81,-63.0,10.99,0.58
sitka,90,US,1588213463,87,57.05,-135.33,6.0,3.6
kidal,0,ML,1588213463,11,18.44,1.41,30.48,7.37
elban,92,RU,1588213463,33,50.1,136.51,17.02,7.45
nuuk,0,GL,1588213464,86,64.18,-51.72,-1.0,3.6
acarau,100,BR,1588213464,86,-2.89,-40.12,25.91,4.74
bumba,17,CD,1588213464,84,2.18,22.47,22.54,0.44
gospic,20,HR,1588213464,93,44.55,15.37,11.0,3.1
tiznit,14,MA,1588213464,64,29.58,-9.5,15.73,0.72
vila franca do campo,75,PT,1588213464,93,37.72,-25.43,17.0,8.2
polunochnoye,100,RU,1588213465,91,60.87,60.42,-0.26,2.59
uchiza,100,PE,1588213465,71,-8.46,-76.46,22.34,1.08
reutte,96,AT,1588213465,91,47.48,10.72,5.0,0.89
nyuksenitsa,100,RU,1588213465,92,60.41,44.24,1.46,4.24
chapais,90,CA,1588213465,45,49.78,-74.85,7.0,2.6
marystown,0,CA,1588213465,93,47.17,-55.15,0.11,3.91
mbandaka,9,CD,1588213465,76,0.05,18.26,23.08,0.93
marsa matruh,40,EG,1588213466,82,31.35,27.25,16.0,1.9
aykhal,40,RU,1588213466,68,66.0,111.5,-2.0,3.0
marrakesh,0,MA,1588213466,67,31.63,-8.01,16.0,2.1
ewa beach,20,US,1588213466,48,21.32,-158.01,29.0,5.7
fukue,20,JP,1588213466,60,32.69,128.84,20.0,5.7
arinos,1,BR,1588213467,72,-15.92,-46.11,18.16,1.17
bac lieu,53,VN,1588213467,60,9.29,105.72,31.5,10.23
paka,40,MY,1588213467,88,4.64,103.44,28.0,1.1
ouadda,18,CF,1588213467,63,8.08,22.4,21.75,1.63
yangambi,13,CD,1588213467,78,0.81,24.43,21.0,0.53
haldibari,1,IN,1588213467,52,26.33,88.77,26.96,3.21
skegness,100,GB,1588213467,87,53.14,0.34,8.89,3.13
kokstad,93,ZA,1588213467,51,-30.55,29.42,9.78,3.1
puerto suarez,84,BO,1588213468,55,-18.95,-57.8,26.59,0.62
washougal,38,US,1588213350,78,45.58,-122.35,18.33,1.34
fereydunshahr,82,IR,1588213468,38,32.94,50.12,4.81,1.0
rodrigues alves,93,BR,1588213468,92,-7.74,-72.65,23.27,0.61
pali,0,IN,1588213468,21,25.77,73.33,30.71,2.56
abu kamal,0,SY,1588213469,37,34.45,40.92,20.44,2.0
grao mogol,6,BR,1588213469,73,-16.56,-42.89,14.33,1.11
marawi,83,PH,1588213469,81,8.0,124.29,27.78,2.24
barra dos coqueiros,40,BR,1588213469,88,-10.91,-37.04,25.0,3.6
linxia,1,CN,1588213469,11,35.6,103.21,18.97,0.9
saint george,1,US,1588213470,17,37.1,-113.58,32.22,4.1
stary sacz,77,PL,1588213470,90,49.56,20.64,11.67,1.52
berlevag,64,NO,1588213470,93,70.86,29.09,-2.63,2.41
innisfail,49,AU,1588213470,72,-17.53,146.03,27.05,2.57
shahr-e kord,40,IR,1588213470,100,32.33,50.86,3.0,2.1
ratnagiri,99,IN,1588213470,74,16.98,73.3,28.76,0.98
namwala,78,ZM,1588213470,44,-15.75,26.44,18.01,1.31
cabedelo,40,BR,1588213470,94,-6.98,-34.83,25.0,2.1
korla,48,CN,1588213470,11,41.76,86.15,26.56,6.27
shamgarh,48,IN,1588213471,19,24.18,75.63,32.24,1.21
tari,34,NG,1588213471,49,12.41,4.49,29.58,4.73
santo antonio do ica,29,BR,1588213471,90,-3.1,-67.94,24.06,0.87
mongoumba,17,CF,1588213471,71,3.64,18.59,23.28,1.34
boddam,100,GB,1588213471,93,57.47,-1.78,7.0,5.7
sept-iles,5,CA,1588213471,80,50.2,-66.38,1.67,1.5
mosquera,40,CO,1588213471,93,4.71,-74.23,11.0,1.5
xiangxiang,98,CN,1588213471,44,27.73,112.53,28.22,4.85
kristiinankaupunki,0,FI,1588213472,91,62.27,21.38,0.22,2.33
mabai,100,CN,1588213473,60,23.01,104.45,15.03,2.1
amahai,77,ID,1588213473,58,-3.33,128.92,28.89,2.36
mount gambier,75,AU,1588213473,81,-37.83,140.77,11.0,10.3
omboue,100,GA,1588213474,92,-1.57,9.26,25.02,5.05
bermejo,0,AR,1588213474,67,-32.88,-68.8,14.0,1.0
tokur,100,RU,1588213474,61,53.13,132.9,6.51,3.62
kilindoni,99,TZ,1588213474,79,-7.91,39.67,26.6,2.95
glendive,1,US,1588213474,39,47.11,-104.71,18.89,3.6
udachnyy,40,RU,1588213475,68,66.42,112.4,-2.0,3.0
timizart,0,DZ,1588213475,61,36.8,4.27,12.41,2.14
liwale,100,TZ,1588213475,84,-9.77,37.93,20.27,1.55
sobolevo,99,RU,1588213475,78,54.43,31.9,2.08,3.23
uvira,100,CD,1588213475,53,-3.41,29.15,22.11,0.89
stornoway,20,GB,1588213475,75,58.21,-6.39,7.0,4.1
vallenar,100,CL,1588213476,64,-28.57,-70.76,14.58,0.56
ati,34,TD,1588213476,16,13.22,18.34,29.52,1.65
yakovlevka,13,RU,1588213476,33,44.42,133.48,18.22,2.32
mahibadhoo,82,MV,1588213476,77,3.78,72.97,29.2,3.45
maldonado,40,UY,1588213476,63,-34.67,-54.92,18.0,8.7
erice,20,IT,1588213476,87,38.04,12.59,14.0,2.6
motygino,100,RU,1588213477,83,58.18,94.76,10.71,4.17
russell,90,US,1588213477,88,32.35,-85.2,18.0,5.1
santa cruz cabralia,40,BR,1588213477,88,-16.28,-39.02,22.0,1.5
